Opleiding;Student;Roepnaam;Familienaam;ID Opleidingsond.;Opleidingsonderdeel;STP;Academische periode;Score Januari;Score Juni;Score na juni;Score September;Score 1e kans;Score 2e kans;Score;Tolerantie
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z14469;Intercultural communication;5;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25833;Data Visualisation (EN);4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z16468;Data Science (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25834;Business Processes & ITIL (EN);5;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25826;Entrepreneurship (EN);4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25831;DevOps & Security (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25836;Project PHP (EN);5;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25827;Requirements Analysis (EN);8;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25835;Java Advanced (EN);4;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z16469;.NET Development (EN);6;Tweede Semester;#;#;#;#;A;#;A; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25837;UML (EN);3;Tweede Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25829;Linux Webservices (EN);3;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25839;Professional Skills 2 (EN);3;Academiejaar;#;#;#;#;PASS;#;PASS; #
PBA Applied Computer Science - Engl progr (Geel);0659735;Thomas;Jane;Z25830;Web Applications in PHP (EN);4;Eerste Semester;#;#;#;#;A;#;A; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25075;Webdesign Advanced;4;Tweede Semester;#;#;#;#;ZERO;F;ZERO; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25073;Data Analysis with SQL;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25066;Application Development in Java;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25064;English 1;4;Academiejaar;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25065;IT Essentials;3;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25063;IoT Essentials;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25067;Linux Essentials;4;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25068;Network Essentials;4;Eerste Semester;#;#;#;#;C;#;C; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z16448;Professional Skills 1;6;Academiejaar;#;#;#;#;B;#;B; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z16447;Security Essentials;3;Tweede Semester;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25069;Switching, Routing and Wireless Essentia;4;Tweede Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25500;Webdesign Essentials;6;Eerste Semester;#;#;#;#;F;F;F; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25076;Windows System Administration;4;Tweede Semester;#;#;#;#;D;F;D; #
PBA Toegepaste Informatica (Geel);0557229;Joseph;Fiennes;Z25499;Programming Essentials;6;Eerste Semester;#;#;#;#;F;F;F; #
PBA Applied Computer Science - Engl progr (Geel);0630969;Bob;Hoskins;Z15793;Programming Essentials (EN);6;Eerste Semester;#;#;#;#;B;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0630969;Bob;Hoskins;Z15799;IoT Essentials (EN);4;Tweede Semester;#;#;#;#;C;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0630969;Bob;Hoskins;Z15804;Webdesign Advanced (EN);4;Tweede Semester;#;#;#;#;C;#;C; #
