Opleiding;Student;Roepnaam;Familienaam;ID Opleidingsond.;Opleidingsonderdeel;STP;Academische periode;Score Januari;Score Juni;Score na juni;Score September;Score 1e kans;Score 2e kans;Score;Tolerantie
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13459;Business Essentials;4;Eerste Semester;B;#;B;#;#;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25507;FPGA Development;3;Tweede Semester;#;A;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13468;Français;3;Eerste Semester;C;#;C;#;#;#;C; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13470;IoT Advanced;3;Eerste Semester;A;#;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25506;Communication Technology;4;Tweede Semester;#;A;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25505;KNX Home Automation;3;Eerste Semester;A;#;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25509;Smart Environments;3;Tweede Semester;#;B;B;#;#;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25502;Troubleshooting;3;Tweede Semester;#;B;B;#;#;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25508;Project Wireless;3;Tweede Semester;#;B;B;#;#;#;B; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25504;Embedded Devices Essentials;5;Tweede Semester;#;A;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z15780;Digital Innovation S3-09;9;Eerste Semester;PASS;#;PASS;#;#;#;PASS; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z25503;Embedded Interfacing;3;Eerste Semester;A;#;A;#;#;#;A; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13482;Project IoT;5;Tweede Semester;#;C;C;#;#;#;C; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z13467;English 2;3;Eerste Semester;C;#;C;#;#;#;C; #
PBA Elektronica-ICT (Geel);0544120;Quentin;Tarantino;Z15815;WT - Requirements Analysis;6;Eerste Semester;B;#;B;#;#;#;B; #
PBA Applied Computer Science - Engl progr (Geel);0640249;Brad;Pitt;Z13982;RZL;3;Tweede Semester;#;PASS;PASS;#;#;#;PASS; #
PBA Applied Computer Science - Engl progr (Geel);0640249;Brad;Pitt;Z15808;Big Data;3;Eerste Semester;C;#;C;#;#;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0640249;Brad;Pitt;Z15809;Business Intelligence Project;3;Eerste Semester;C;#;C;#;#;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0640249;Brad;Pitt;Z15811;Cloud AI;3;Eerste Semester;C;#;C;#;#;#;C; #
PBA Applied Computer Science - Engl progr (Geel);0640249;Brad;Pitt;Z13993;Data Engineering;4;Eerste Semester;B;#;B;#;#;#;B; #
